Year_Quarter,GDPC1,GDP_Growth,Recession_Status,Recession_Status_Any,Recession_Months,Recession_Majority,Recession_Any
1955Q1,3020.746,2.8565961103930393,Not Recession,Not Recession,0,False,False
1955Q2,3069.91,1.627544983921192,Not Recession,Not Recession,0,False,False
1955Q3,3111.379,1.3508213595838425,Not Recession,Not Recession,0,False,False
1955Q4,3130.068,0.600666135498118,Not Recession,Not Recession,0,False,False
1956Q1,3117.922,-0.38804268789048857,Not Recession,Not Recession,0,False,False
1956Q2,3143.694,0.8265761619437484,Not Recession,Not Recession,0,False,False
1956Q3,3140.874,-0.08970338716173254,Not Recession,Not Recession,0,False,False
1956Q4,3192.57,1.645911297301339,Not Recession,Not Recession,0,False,False
1957Q1,3213.011,0.6402678719652055,Not Recession,Not Recession,0,False,False
1957Q2,3205.97,-0.21914023948252925,Not Recession,Not Recession,0,False,False
1957Q3,3237.386,0.9799218333296889,Not Recession,Recession,1,False,True
1957Q4,3203.894,-1.0345383590341206,Recession,Recession,3,True,True
1958Q1,3120.724,-2.595903609794814,Recession,Recession,3,True,True
1958Q2,3141.224,0.6568988478314663,Not Recession,Recession,1,False,True
1958Q3,3213.884,2.3131110675329136,Not Recession,Not Recession,0,False,False
1958Q4,3289.032,2.3382300045676763,Not Recession,Not Recession,0,False,False
1959Q1,3352.129,1.9184063882625502,Not Recession,Not Recession,0,False,False
1959Q2,3427.667,2.2534335641617664,Not Recession,Not Recession,0,False,False
1959Q3,3430.057,0.06972672666276658,Not Recession,Not Recession,0,False,False
1959Q4,3439.832,0.28498068690987477,Not Recession,Not Recession,0,False,False
1960Q1,3517.181,2.2486272585405365,Not Recession,Not Recession,0,False,False
1960Q2,3498.246,-0.5383572810156778,Recession,Recession,2,True,True
1960Q3,3515.385,0.4899312398270572,Recession,Recession,3,True,True
1960Q4,3470.278,-1.283131150642114,Recession,Recession,3,True,True
1961Q1,3493.703,0.6750179668602918,Recession,Recession,2,True,True
1961Q2,3553.021,1.6978546831256214,Not Recession,Not Recession,0,False,False
1961Q3,3621.252,1.9203657957552078,Not Recession,Not Recession,0,False,False
1961Q4,3692.289,1.961669610399941,Not Recession,Not Recession,0,False,False
1962Q1,3758.147,1.7836631964615934,Not Recession,Not Recession,0,False,False
1962Q2,3792.149,0.9047543909272315,Not Recession,Not Recession,0,False,False
1962Q3,3838.776,1.2295666652338832,Not Recession,Not Recession,0,False,False
1962Q4,3851.421,0.32940187184664627,Not Recession,Not Recession,0,False,False
1963Q1,3893.482,1.0920904258454156,Not Recession,Not Recession,0,False,False
1963Q2,3937.183,1.122414332466426,Not Recession,Not Recession,0,False,False
1963Q3,4023.755,2.1988309915998316,Not Recession,Not Recession,0,False,False
1963Q4,4050.147,0.6559047456915268,Not Recession,Not Recession,0,False,False
1964Q1,4135.553,2.108713584963695,Not Recession,Not Recession,0,False,False
1964Q2,4180.592,1.0890683785215627,Not Recession,Not Recession,0,False,False
1964Q3,4245.918,1.5626016602433346,Not Recession,Not Recession,0,False,False
1964Q4,4259.046,0.30919108659188677,Not Recession,Not Recession,0,False,False
1965Q1,4362.111,2.4199081202691763,Not Recession,Not Recession,0,False,False
1965Q2,4417.225,1.263470828688229,Not Recession,Not Recession,0,False,False
1965Q3,4515.427,2.2231604683935924,Not Recession,Not Recession,0,False,False
1965Q4,4619.458,2.303901712949852,Not Recession,Not Recession,0,False,False
1966Q1,4731.888,2.433835311415322,Not Recession,Not Recession,0,False,False
1966Q2,4748.046,0.3414704659112866,Not Recession,Not Recession,0,False,False
1966Q3,4788.254,0.8468325707038149,Not Recession,Not Recession,0,False,False
1966Q4,4827.537,0.8204034288907813,Not Recession,Not Recession,0,False,False
1967Q1,4870.299,0.8857933144789998,Not Recession,Not Recession,0,False,False
1967Q2,4873.287,0.06135146938617275,Not Recession,Not Recession,0,False,False
1967Q3,4919.392,0.9460760263042101,Not Recession,Not Recession,0,False,False
1967Q4,4956.477,0.7538533217112953,Not Recession,Not Recession,0,False,False
1968Q1,5057.553,2.0392710386833324,Not Recession,Not Recession,0,False,False
1968Q2,5142.033,1.6703730044944853,Not Recession,Not Recession,0,False,False
1968Q3,5181.859,0.7745185610438465,Not Recession,Not Recession,0,False,False
1968Q4,5202.212,0.39277409902507276,Not Recession,Not Recession,0,False,False
1969Q1,5283.597,1.5644306691076748,Not Recession,Not Recession,0,False,False
1969Q2,5299.625,0.3033539461847701,Not Recession,Not Recession,0,False,False
1969Q3,5334.6,0.6599523551194642,Not Recession,Not Recession,0,False,False
1969Q4,5308.556,-0.48820905035055207,Not Recession,Not Recession,0,False,False
1970Q1,5300.652,-0.1488917136788115,Recession,Recession,3,True,True
1970Q2,5308.164,0.14171841501762206,Recession,Recession,3,True,True
1970Q3,5357.077,0.9214673849564647,Recession,Recession,3,True,True
1970Q4,5299.672,-1.0715731732062195,Recession,Recession,2,True,True
1971Q1,5443.619,2.716149225838893,Not Recession,Not Recession,0,False,False
1971Q2,5473.059,0.5408166883097643,Not Recession,Not Recession,0,False,False
1971Q3,5518.072,0.8224468254407702,Not Recession,Not Recession,0,False,False
1971Q4,5531.032,0.234864641128274,Not Recession,Not Recession,0,False,False
1972Q1,5632.649,1.8372159119672382,Not Recession,Not Recession,0,False,False
1972Q2,5760.47,2.2692875057543915,Not Recession,Not Recession,0,False,False
1972Q3,5814.854,0.9440896315751957,Not Recession,Not Recession,0,False,False
1972Q4,5912.22,1.6744358499800605,Not Recession,Not Recession,0,False,False
1973Q1,6058.544,2.4749417308557398,Not Recession,Not Recession,0,False,False
1973Q2,6124.506,1.0887434340660196,Not Recession,Not Recession,0,False,False
1973Q3,6092.301,-0.5258383288382795,Not Recession,Not Recession,0,False,False
1973Q4,6150.131,0.9492308406954919,Not Recession,Recession,1,False,True
1974Q1,6097.258,-0.8597052648146919,Recession,Recession,3,True,True
1974Q2,6111.751,0.23769701068907523,Recession,Recession,3,True,True
1974Q3,6053.978,-0.9452773845007756,Recession,Recession,3,True,True
1974Q4,6030.464,-0.38840577220465855,Recession,Recession,3,True,True
1975Q1,5957.035,-1.2176343312886084,Recession,Recession,3,True,True
1975Q2,5999.61,0.7147011894339972,Not Recession,Not Recession,0,False,False
1975Q3,6102.326,1.712044616233399,Not Recession,Not Recession,0,False,False
1975Q4,6184.53,1.3470928953975836,Not Recession,Not Recession,0,False,False
1976Q1,6323.649,2.249467623247048,Not Recession,Not Recession,0,False,False
1976Q2,6370.025,0.7333740376798126,Not Recession,Not Recession,0,False,False
1976Q3,6404.895,0.5474075847426096,Not Recession,Not Recession,0,False,False
1976Q4,6451.177,0.7226035711748402,Not Recession,Not Recession,0,False,False
1977Q1,6527.703,1.1862331478426524,Not Recession,Not Recession,0,False,False
1977Q2,6654.466,1.9419235219494402,Not Recession,Not Recession,0,False,False
1977Q3,6774.457,1.8031649722156429,Not Recession,Not Recession,0,False,False
1977Q4,6774.592,0.001992779642701059,Not Recession,Not Recession,0,False,False
1978Q1,6796.26,0.319842139570925,Not Recession,Not Recession,0,False,False
1978Q2,7058.92,3.864772683799611,Not Recession,Not Recession,0,False,False
1978Q3,7129.915,1.0057487547670219,Not Recession,Not Recession,0,False,False
1978Q4,7225.75,1.3441254208500286,Not Recession,Not Recession,0,False,False
1979Q1,7238.727,0.17959381379095696,Not Recession,Not Recession,0,False,False
1979Q2,7246.454,0.10674528822540719,Not Recession,Not Recession,0,False,False
1979Q3,7300.281,0.7428046876444716,Not Recession,Not Recession,0,False,False
1979Q4,7318.535,0.2500451694941619,Not Recession,Not Recession,0,False,False
1980Q1,7341.557,0.31457115392630186,Recession,Recession,2,True,True
1980Q2,7190.289,-2.0604348641575676,Recession,Recession,3,True,True
1980Q3,7181.743,-0.11885474978821087,Not Recession,Recession,1,False,True
1980Q4,7315.677,1.8649233201466497,Not Recession,Not Recession,0,False,False
1981Q1,7459.022,1.9594222106853687,Not Recession,Not Recession,0,False,False
1981Q2,7403.745,-0.7410757067079277,Not Recession,Not Recession,0,False,False
1981Q3,7492.405,1.197502074963408,Recession,Recession,2,True,True
1981Q4,7410.768,-1.0895967316235544,Recession,Recession,3,True,True
1982Q1,7295.631,-1.5536446424985861,Recession,Recession,3,True,True
1982Q2,7328.912,0.45617712847594305,Recession,Recession,3,True,True
1982Q3,7300.896,-0.3822668357868153,Recession,Recession,3,True,True
1982Q4,7303.817,0.04000878796246443,Recession,Recession,2,True,True
1983Q1,7400.066,1.3177904101375981,Not Recession,Not Recession,0,False,False
1983Q2,7568.456,2.2755202453599743,Not Recession,Not Recession,0,False,False
1983Q3,7719.746,1.9989546084432597,Not Recession,Not Recession,0,False,False
1983Q4,7880.794,2.0861826282885465,Not Recession,Not Recession,0,False,False
1984Q1,8034.847,1.9547903421914148,Not Recession,Not Recession,0,False,False
1984Q2,8173.67,1.72776158649941,Not Recession,Not Recession,0,False,False
1984Q3,8252.465,0.9640100468944812,Not Recession,Not Recession,0,False,False
1984Q4,8320.199,0.8207729448110435,Not Recession,Not Recession,0,False,False
1985Q1,8400.82,0.9689792275400899,Not Recession,Not Recession,0,False,False
1985Q2,8474.787,0.8804735728179081,Not Recession,Not Recession,0,False,False
1985Q3,8604.22,1.5272714228687922,Not Recession,Not Recession,0,False,False
1985Q4,8668.188,0.7434491447220193,Not Recession,Not Recession,0,False,False
