Kiran_ID,row_id,DateOfIssue,Brand,token_count,Hand_Label,Is_Non_Ad,Reason,is_non_advertiser,is_multipage,too_short,any_flag,is_non_advertiser_ci,any_flag_revised,Outcome_any_flag,Outcome_any_flag_revised
1962,1961,2012-07-07,IBM,655,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1965,1964,2012-07-07,Deutsche Bank,312,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1967,1966,2012-07-07,Subscription service,439,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
1971,1970,2012-06-30,Cisco,69,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1985,1984,2012-06-30,Audi,60,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1990,1989,2012-06-30,Carbon Trust,63,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1996,1995,2012-06-23,Ubd,305,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
2021,2020,2012-06-16,Economist Intelligence Unit,43,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
2025,2024,2012-06-16,,22,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
2039,2038,2012-06-09,Subscription service,463,0,True,Subscription Service,False,False,False,False,True,True,"Missed (non-ad, not flagged)","Correctly removed (non-ad, flagged)"
