Brand_Key,Sector,Ads
glen mist whisky liqueur,Luxury & consumer goods,4
gleneagles,Other / unclassified,4
compa ia de acero del pacifico cap,Other / unclassified,4
global link,Other / unclassified,4
gillette,Other / unclassified,4
girobank business banking,Banking & finance,4
givenchy,Other / unclassified,4
asiac,Other / unclassified,4
asian banking,Banking & finance,4
blyth eastman dillon,Other / unclassified,4
nirex,Other / unclassified,4
united cargo containers,Other / unclassified,4
gruppo ferruzzi,Other / unclassified,4
guardian newspaper,Media & publishing (incl. The Economist),4
nikkei high tech report,Other / unclassified,4
see burroughs first,Other / unclassified,4
compagnie nationale algerienne de navigation,Other / unclassified,4
glaxo holdings,Other / unclassified,4
university of buckingham,"Education, jobs & conferences",4
university of hartford business school,"Education, jobs & conferences",4
university of north carolina kenan flagler business school,"Education, jobs & conferences",4
university of st andrews,"Education, jobs & conferences",4
university of strathclyde,"Education, jobs & conferences",4
university of sydney,"Education, jobs & conferences",4
germany s international trade fairs,"Government, trade & development",4
complexity strategy conference,"Education, jobs & conferences",4
nile associates,Other / unclassified,4
arrows,Other / unclassified,4
shorts tucano,Other / unclassified,4
gulf eternit,"Energy, industry & materials",4
unipart way,Other / unclassified,4
unisys we make it happen,Other / unclassified,4
nicholas direct,Other / unclassified,4
getty oil,"Energy, industry & materials",4
gianni versace,Other / unclassified,4
compaq microsoft,Technology & electronics,4
scottish united investors,Banking & finance,4
sd scicon,Other / unclassified,4
sdk,Other / unclassified,4
niedersachsen country with perspectives,Other / unclassified,4
nifes,Other / unclassified,4
nigeria airways,Air travel & hotels,4
nigerian national petroleum,"Energy, industry & materials",4
nightingale,Other / unclassified,4
nihon keizai shimbun,Other / unclassified,4
gulf western international,"Energy, industry & materials",4
gulfstream ii ultimate,Other / unclassified,4
gustavsberg,Other / unclassified,4
h nahai brothers,Other / unclassified,4
cofitour,Other / unclassified,4
german industries fair,"Energy, industry & materials",4
adela,Other / unclassified,4
george cohen sons,Other / unclassified,4
newfoundland labrador,Other / unclassified,4
newman,Other / unclassified,4
newmark real estate services,Other / unclassified,4
newnes,Other / unclassified,4
armstrong acoustical ceilings,Other / unclassified,4
hairman s statement,Other / unclassified,4
halex,Other / unclassified,4
new philadelphia story,Other / unclassified,4
occidental petroleum,"Energy, industry & materials",4
beverly wilshire hotel,Air travel & hotels,4
oecd observer,Other / unclassified,4
oem,Other / unclassified,4
asl,Other / unclassified,4
aspect,Other / unclassified,4
asprey p l c,Other / unclassified,4
new world hotels international,Air travel & hotels,4
new york state department of commerce,Other / unclassified,4
new zealand market,Other / unclassified,4
new zealand shipping,Autos & transport,4
cnt property centre,Other / unclassified,4
coalite group,Other / unclassified,4
coastal,Other / unclassified,4
halkbank,Other / unclassified,4
halliburton,Other / unclassified,4
gec reliance systems,Technology & electronics,4
gecapital,Other / unclassified,4
general,Other / unclassified,4
general american transportation,Other / unclassified,4
computerland,Technology & electronics,4
general tire,Other / unclassified,4
generalitat de catalunya,Other / unclassified,4
acton society trust,Banking & finance,4
cnn mobile,Other / unclassified,4
hamersley iron finance,Banking & finance,4
hammerson,Other / unclassified,4
aga dictating machine,Other / unclassified,4
underwood elliott fisher sundstrand,Other / unclassified,4
unica,Other / unclassified,4
new,Other / unclassified,4
new air subscription rates,Air travel & hotels,4
addis ababa hilton,Air travel & hotels,4
bestobell,Other / unclassified,4
bet,Other / unclassified,4
bethlehem steel,"Energy, industry & materials",4
office services,Other / unclassified,4
oh darling bp,"Energy, industry & materials",4
usaid,Other / unclassified,4
new business contacts in canada,Other / unclassified,4
singapore indonesia,Other / unclassified,4
bookcases,Other / unclassified,4
netbank,Other / unclassified,4
netherlands,Other / unclassified,4
hannover messe 88 industrie,Other / unclassified,4
hanover bank new york,Banking & finance,4
hapag lloyd,Other / unclassified,4
harleroi,Other / unclassified,4
gateway to security,Other / unclassified,4
okura club international,Other / unclassified,4
oliver boyd,Other / unclassified,4
olivetti at t,Technology & electronics,4
olympus om system,Other / unclassified,4
omron,Other / unclassified,4
actionenergy,Other / unclassified,4
harting elektronik,Other / unclassified,4
harvester,Other / unclassified,4
agence europe,Other / unclassified,4
agere systems,Technology & electronics,4
ncvq,Other / unclassified,4
nei,Other / unclassified,4
sinclair,Other / unclassified,4
ari,Other / unclassified,4
arkema,Other / unclassified,4
opap,Other / unclassified,4
scottish aviation,Air travel & hotels,4
scottish council,"Government, trade & development",4
scottish home health department medical statistician,Other / unclassified,4
gallaher s rich dark honeydew,Other / unclassified,4
gardner merchant,Other / unclassified,4
condor,Other / unclassified,4
hec paris,Other / unclassified,4
agricultural bank of egypt,Banking & finance,4
ahlstr m,Other / unclassified,4
borden,Other / unclassified,4
natwest global financial markets,Banking & finance,4
natwest ventures,Other / unclassified,4
nbc,Other / unclassified,4
boral,Other / unclassified,4
uk taxation untangled,Other / unclassified,4
clayton manufacturing,Other / unclassified,4
organisation of henry gardner,Other / unclassified,4
otc qx,Other / unclassified,4
frigidaire,Other / unclassified,4
frost sullivan,Other / unclassified,4
fuller horsey sons cassell,Other / unclassified,4
harper collins,Other / unclassified,4
singer motors,Autos & transport,4
sir isaac pitman sons,Other / unclassified,4
national maritime institute,"Education, jobs & conferences",4
national petrochemical of iran,Other / unclassified,4
national smokeless fuels,Other / unclassified,4
cl alexanders rouse,Other / unclassified,4
heineken,Other / unclassified,4
berec,Other / unclassified,4
french industrial development board,"Energy, industry & materials",4
usecolor com,Other / unclassified,4
usweb cks,Other / unclassified,4
acropolis,Other / unclassified,4
hawkes of savile row,Other / unclassified,4
health education authority,"Government, trade & development",4
clark equipment,Other / unclassified,4
heather financial,Banking & finance,4
national freight,Other / unclassified,4
singapore technologies,Technology & electronics,4
singapore tourist promotion board,Air travel & hotels,4
herring daw manners,Other / unclassified,4
helaba,Other / unclassified,4
heliopolis sheraton,Air travel & hotels,4
hellenic industrial development bank,Banking & finance,4
henry davis,Other / unclassified,4
herring daw,Other / unclassified,4
scor,Other / unclassified,4
bennett coleman,Other / unclassified,4
pa international,Other / unclassified,4
pacific telephone telegraph,Technology & electronics,4
free survey,Other / unclassified,4
consolidated african selection trust,Banking & finance,4
freemove,Other / unclassified,4
panasonic cellular,Technology & electronics,4
fortis bank,Banking & finance,4
fortnum mason,Other / unclassified,4
consumers power,"Energy, industry & materials",4
forum hotels,Air travel & hotels,4
foundation degree,Other / unclassified,4
framatome,Other / unclassified,4
consult mond nickel,Other / unclassified,4
bell helicopter textron,Other / unclassified,4
bellway holdings,Other / unclassified,4
pactual,Other / unclassified,4
pakistan afghanistan,Other / unclassified,4
palais des expositions charleroi belgium,Other / unclassified,4
acheson colloids,Other / unclassified,4
acl,Other / unclassified,4
consolidated main reef mines estate,Other / unclassified,4
skandia,Other / unclassified,4
skanska,Other / unclassified,4
arcon,Other / unclassified,4
hine cognac,Luxury & consumer goods,4
hispano suiza group,Other / unclassified,4
tww ward group,Other / unclassified,4
boving,Other / unclassified,4
botanica at key colony key biscayne,Other / unclassified,4
boulton,Other / unclassified,4
citr x,Other / unclassified,4
city,Other / unclassified,4
city index,Other / unclassified,4
citizen,Other / unclassified,4
palestine studies,Other / unclassified,4
pan,Other / unclassified,4
pan am building,Air travel & hotels,4
br petrobras,Other / unclassified,4
bradford,Other / unclassified,4
bowes bowes,Other / unclassified,4
bowmaker,Other / unclassified,4
bozano simonsen,Other / unclassified,4
hit print,Other / unclassified,4
air florida,Air travel & hotels,4
bradford management centre,Other / unclassified,4
parcelforce,Other / unclassified,4
school of management studies,"Education, jobs & conferences",4
schroder salomon smith barney,Other / unclassified,4
foreign exchange,Banking & finance,4
venture dome,Other / unclassified,4
venture tech,Other / unclassified,4
national bank of libya,Banking & finance,4
situations wanted,Other / unclassified,4
fluidiks b v,Other / unclassified,4
brandenburg economic development,"Government, trade & development",4
napol on cognac grande fine champagne remy martin,Luxury & consumer goods,4
napper stinton woolley,Other / unclassified,4
national accounting systems,Technology & electronics,4
skytrax,Other / unclassified,4
skyways of london,Other / unclassified,4
arbuthnot latham,Other / unclassified,4
trussed concrete steel,"Energy, industry & materials",4
hodge,Other / unclassified,4
cincom systems,Technology & electronics,4
holiday inn m venpick,Other / unclassified,4
partnership,Other / unclassified,4
folland gnat,Other / unclassified,4
fonadek,Other / unclassified,4
food agriculture organization of united nations,"Government, trade & development",4
municipal general securities,Banking & finance,4
muscat,Other / unclassified,4
mylan,Other / unclassified,4
n p,Other / unclassified,4
nacro,Other / unclassified,4
homelink,Other / unclassified,4
churtons,Other / unclassified,4
ciba geigy,Other / unclassified,4
hor zu,Other / unclassified,4
pemex,Other / unclassified,4
scandinavian service school,"Education, jobs & conferences",4
scf,Other / unclassified,4
schau ins land,Other / unclassified,4
flatron,Other / unclassified,4
flemings international investment banking,Banking & finance,4
flora margarine for men,Other / unclassified,4
viacode royal mail,Other / unclassified,4
hotel ambassador,Air travel & hotels,4
msc,Other / unclassified,4
mss,Other / unclassified,4
mtu,Other / unclassified,4
multilingua,Other / unclassified,4
multitech,Other / unclassified,4
multitone,Other / unclassified,4
travelers checks,Other / unclassified,4
tregenna castle,Other / unclassified,4
snia,Other / unclassified,4
accent,Other / unclassified,4
cooper industries,"Energy, industry & materials",4
first in titanium,Other / unclassified,4
first national finance,Banking & finance,4
first union,Other / unclassified,4
financial weekly,Banking & finance,4
copper first choice metal of modern age,Other / unclassified,4
penguin books,Media & publishing (incl. The Economist),4
morice tozer beck,Other / unclassified,4
morse,Other / unclassified,4
motor accessories manufacturers association,Autos & transport,4
chubb systems,Technology & electronics,4
hotel maldhaus,Air travel & hotels,4
hotel meridien paris,Air travel & hotels,4
hotel parker meridien,Air travel & hotels,4
hotel rebar crown taipei,Air travel & hotels,4
bbc world service,Other / unclassified,4
bcci,Other / unclassified,4
bea olympic,Other / unclassified,4
bbc parliament,Other / unclassified,4
corby northants,Other / unclassified,4
fiduciary trust,Banking & finance,4
morgan sinterlink,Banking & finance,4
morgan stanley international,Banking & finance,4
morganite bearings,Other / unclassified,4
arabian establishment for trade,"Government, trade & development",4
smoke,Other / unclassified,4
how to spend it,Other / unclassified,4
hsbc trade services,Banking & finance,4
sogo shosha,Other / unclassified,4
sohio bp trans alaska pipeline capital,Banking & finance,4
pentax,Other / unclassified,4
people work better in colt conditions,Other / unclassified,4
at drop of a hammer,Other / unclassified,4
saudi arabia,Other / unclassified,4
saudi oger,Other / unclassified,4
corning,Other / unclassified,4
sol meli,Other / unclassified,4
briefing,Other / unclassified,4
brighton marina,Other / unclassified,4
monte carlo principality of monaco,Other / unclassified,4
hublot geneve,Other / unclassified,4
huddersfield building society,Other / unclassified,4
hudson s bay,Other / unclassified,4
transcontinental gas pipe line,"Energy, industry & materials",4
bavaria,Other / unclassified,4
perkins engines,Other / unclassified,4
perkins high quality,Other / unclassified,4
perrier natural sparkling water,Other / unclassified,4
personal education courses,"Education, jobs & conferences",4
personal incomes 1938 1950,Other / unclassified,4
corporate finance,Banking & finance,4
fidelity investments,Banking & finance,4
hyperion,Other / unclassified,4
china external trade development council,"Government, trade & development",4
mit sloan,Other / unclassified,4
air one,Air travel & hotels,4
arab international bank,Banking & finance,4
humidor pack,Other / unclassified,4
chloride electrical storage,"Energy, industry & materials",4
farmitalia carlo erba,Other / unclassified,4
fcmb,Other / unclassified,4
correspondents throughout world,Other / unclassified,4
corum suisse,Other / unclassified,4
federation of rhodesia nyasaland,Other / unclassified,4
fenosa,Other / unclassified,4
vignette,Other / unclassified,4
vintage hotels,Air travel & hotels,4
virgin direct,Other / unclassified,4
i p sharp associates,Other / unclassified,4
china,Other / unclassified,4
mitsui o s k lines,Autos & transport,4
sources of capital,Banking & finance,4
apple power macintosh,"Energy, industry & materials",4
britain s way out,Other / unclassified,4
britains,Other / unclassified,4
toronto canada,Other / unclassified,4
peter spence,Other / unclassified,4
sanyo securities,Banking & finance,4
peterborough software,Technology & electronics,4
cost of drying things,Other / unclassified,4
cotella,Other / unclassified,4
hutchison,Other / unclassified,4
toyo rayon,Other / unclassified,4
trans union,Other / unclassified,4
middle east oil arabian peninsula,"Energy, industry & materials",4
midland silicones,Banking & finance,4
millicom international cellular,Other / unclassified,4
british cellophane,Other / unclassified,4
chicago board options exchange,Banking & finance,4
today s taiwan,Other / unclassified,4
al bank al saudi al fransi,Banking & finance,4
phibro salomon,Other / unclassified,4
sandeman,Other / unclassified,4
fairfield,Other / unclassified,4
petley,Other / unclassified,4
ministry for industry trade handicrafts italy,"Government, trade & development",4
ministry of commerce industry tourism cyprus,Air travel & hotels,4
minnesota mining manufacturing,"Energy, industry & materials",4
apr energy,"Energy, industry & materials",4
sord,Other / unclassified,4
executive scancard systems,Technology & electronics,4
exeurex,Other / unclassified,4
south pacific,Other / unclassified,4
mid glamorgan county council,"Government, trade & development",4
british heart foundation,Other / unclassified,4
middle east,Other / unclassified,4
tomorrow is today at trollope colls,Other / unclassified,4
tomtom,Other / unclassified,4
chesterton sons,Other / unclassified,4
philip hill partners,Other / unclassified,4
philipa fawcett college,"Education, jobs & conferences",4
expo 70,Other / unclassified,4
expocentr,Other / unclassified,4
export opportunities,"Government, trade & development",4
visa premier card,Banking & finance,4
visi n,Other / unclassified,4
executive air services,Air travel & hotels,4
phillips imperial petroleum,"Energy, industry & materials",4
phoenicia,Other / unclassified,4
barbizon palace a golden tulip hotel,Air travel & hotels,4
ici fibres,"Energy, industry & materials",4
icmb international center for monetary banking studies,Banking & finance,4
mgm assurance,Banking & finance,4
appointments,"Education, jobs & conferences",4
appointments announcements,"Education, jobs & conferences",4
appointments famous grouse brand whisky long term credit bank of japan,Banking & finance,4
icomp,Other / unclassified,4
ida,Other / unclassified,4
idex,Other / unclassified,4
barcelona traction light power,"Energy, industry & materials",4
baring securities,Banking & finance,4
piccadilly number one,Other / unclassified,4
vosper thornycroft group,Other / unclassified,4
w p carey,Other / unclassified,4
ie2,Other / unclassified,4
chemfico,Other / unclassified,4
chemical banking,Banking & finance,4
ies,Other / unclassified,4
iese business school,"Education, jobs & conferences",4
ifema,Other / unclassified,4
igape,Other / unclassified,4
times 500,Media & publishing (incl. The Economist),4
alatas agencies,Other / unclassified,4
southern africa,Other / unclassified,4
southern cross,Other / unclassified,4
courtaulds international finance,Banking & finance,4
coutts bankers,Other / unclassified,4
execucom,Other / unclassified,4
atlas kolorarc,Other / unclassified,4
samia,Other / unclassified,4
samsonite attache,Other / unclassified,4
cr dit national,Other / unclassified,4
sovtransavto,Other / unclassified,4
space,Other / unclassified,4
tmi,Other / unclassified,4
imede international,Other / unclassified,4
imetal,Other / unclassified,4
metalexport,Other / unclassified,4
european business capital expomovil 78,Banking & finance,4
european headquarters north american aviation,Air travel & hotels,4
european options exchange,Banking & finance,4
european voice conference,"Education, jobs & conferences",4
eurotariff service,Other / unclassified,4
abbey national cheque save,Other / unclassified,4
w rtsil diesel,Other / unclassified,4
a300,Other / unclassified,4
abbar zainy,Other / unclassified,4
wadworth 6x,Other / unclassified,4
metropole hotels,Air travel & hotels,4
metropolitan wigan,Other / unclassified,4
mettler,Other / unclassified,4
imf,Other / unclassified,4
throgmorton management,Other / unclassified,4
albert milhado,Other / unclassified,4
antony gibbs holdings,Other / unclassified,4
waldhaus,Other / unclassified,4
pitman publishing,Media & publishing (incl. The Economist),4
pitney bowes international,Other / unclassified,4
atlas commerce,Other / unclassified,4
atlas diesel,Other / unclassified,4
eurogiro,Other / unclassified,4
antony gibbs sons,Other / unclassified,4
anz merchant bank,Banking & finance,4
speed scrap speed steel,"Energy, industry & materials",4
speichim,Other / unclassified,4
messe m nchen international for first class business,Other / unclassified,4
time manager international,Other / unclassified,4
in touch with tomorrow toshiba,Technology & electronics,4
incomes data services,Technology & electronics,4
charlotte north carolina,Other / unclassified,4
banque de la societe generale de belgique,Banking & finance,4
banque de paris et des pays bas,Banking & finance,4
planning officers,Other / unclassified,4
player s navy cut,Other / unclassified,4
player s perfectos,Other / unclassified,4
european arab bank,Banking & finance,4
port of venice,Other / unclassified,4
walpamur quality paints,Other / unclassified,4
a t cross,Other / unclassified,4
mercantile house group,Other / unclassified,4
meritor,Other / unclassified,4
merrill lynch hsbc,Banking & finance,4
ind coope,Other / unclassified,4
independent,Other / unclassified,4
independent road haulage,Other / unclassified,4
indesit,Other / unclassified,4
plymouth gin,Luxury & consumer goods,4
pointmeimts,Other / unclassified,4
pol service,Other / unclassified,4
polaroid image system,Other / unclassified,4
atomics international,Other / unclassified,4
atomictangerine,Other / unclassified,4
etap,Other / unclassified,4
ethics,Other / unclassified,4
saint gobain pont a mousson,Other / unclassified,4
chargeurs,Other / unclassified,4
charles packer,Other / unclassified,4
alcoa australia,Other / unclassified,4
thorn ericsson,Technology & electronics,4
meet in singapore 95,Other / unclassified,4
megane,Other / unclassified,4
member companies,Other / unclassified,4
springer verlag,Other / unclassified,4
pontin s,Other / unclassified,4
por larranaga,Other / unclassified,4
bankexim,Other / unclassified,4
port authority of new york new jersey,"Government, trade & development",4
port autonome de dunkerque,Other / unclassified,4
escom,Other / unclassified,4
escp eap,Other / unclassified,4
eskom,Other / unclassified,4
mediasurface,Other / unclassified,4
mediterranean crans montana forum,Other / unclassified,4
meed,Other / unclassified,4
industrial service,"Energy, industry & materials",4
industry,Other / unclassified,4
industry for devon,Other / unclassified,4
bank units,Banking & finance,4
post today,Other / unclassified,4
postbank,Other / unclassified,4
posters complete campaign with repetition in colour,Other / unclassified,4
creswell financial holdings,Banking & finance,4
esso motor hotels,Air travel & hotels,4
estpac,Other / unclassified,4
institute for palestine studies,"Education, jobs & conferences",4
institute of americas,"Education, jobs & conferences",4
integrated container service industries,"Energy, industry & materials",4
cfi,Other / unclassified,4
mbb,Other / unclassified,4
mcafee,Other / unclassified,4
ingres,Other / unclassified,4
champagne krug,Luxury & consumer goods,4
spicers plus fabric,Other / unclassified,4
antiquarian book fair,Other / unclassified,4
inkom bank,Banking & finance,4
s m d,Other / unclassified,4
s s kresge,Other / unclassified,4
s smith sons england,Other / unclassified,4
erg,Other / unclassified,4
crime club,Other / unclassified,4
mcgraw hill financial,Banking & finance,4
interdean,Other / unclassified,4
thales,Other / unclassified,4
thames water,Other / unclassified,4
mather crowther,Other / unclassified,4
matsushita electric,"Energy, industry & materials",4
brown root,Other / unclassified,4
enterprise in aluminium,"Energy, industry & materials",4
enterprise oil,"Energy, industry & materials",4
eof,Other / unclassified,4
croft distinction,Other / unclassified,4
equis,Other / unclassified,4
waterford glass,Other / unclassified,4
alegemene bank nederland abn,Banking & finance,4
thomas cook financial services,Banking & finance,4
thomas cook travellers cheques,Other / unclassified,4
engineering finance,Banking & finance,4
engineering for tomorrow,"Energy, industry & materials",4
english industrial estates,"Energy, industry & materials",4
a reader s art guide,Other / unclassified,4
webex,Other / unclassified,4
brookings,Other / unclassified,4
st quintin,Other / unclassified,4
staines colourama linoleum,Other / unclassified,4
bank of novia scotia,Banking & finance,4
bank of helsinki,Banking & finance,4
rugby portland cement,"Energy, industry & materials",4
ruhrgas a g,Other / unclassified,4
rupert hart davis,Other / unclassified,4
wells fargo,Other / unclassified,4
wema bank,Banking & finance,4
ente nazionale per l energia elettrica,Other / unclassified,4
marsh mclennan companies,Other / unclassified,4
marshall organisation,Other / unclassified,4
invest cyprus,Banking & finance,4
invergordon,Other / unclassified,4
all models ex stock abelson,Other / unclassified,4
marketing research,Other / unclassified,4
maryland bank international,Banking & finance,4
masdar,Other / unclassified,4
masraf al gumhouria,Other / unclassified,4
mass transit railway,Autos & transport,4
textron lycoming,Other / unclassified,4
annual statement,Other / unclassified,4
ansafone,Other / unclassified,4
priestmaim constructioin equipment,Other / unclassified,4
royal trust bank,Banking & finance,4
crown colonist monthly illustrated two shillings,Other / unclassified,4
primark extel survey 2000,Other / unclassified,4
marconi s wireless telegraph,Technology & electronics,4
marine midland trust of new york,Banking & finance,4
mark hopkins,Other / unclassified,4
standard life bank,Banking & finance,4
allen lane,Other / unclassified,4
telemedia,Other / unclassified,4
private investment for asia,Banking & finance,4
bank of australia,Banking & finance,4
empire news sunday chronicle,Other / unclassified,4
energy demand decline or rebound,"Energy, industry & materials",4
energy policy,"Energy, industry & materials",4
ryders discount,Other / unclassified,4
prestige,Other / unclassified,4
btp titanium pigments,Other / unclassified,4
marlboro,Other / unclassified,4
electricity board,"Energy, industry & materials",4
elf,Other / unclassified,4
elkem,Other / unclassified,4
elsevier,Other / unclassified,4
private telephone systems,Technology & electronics,4
mappin webb,Other / unclassified,4
budapest international fair,Other / unclassified,4
budd publications,Media & publishing (incl. The Economist),4
iran overseas investment bank,Banking & finance,4
iraq,Other / unclassified,4
privredna banka zagreb,Other / unclassified,4
bank indonesia,Banking & finance,4
royal mail overseas services,Other / unclassified,4
emc2 storage architects,Other / unclassified,4
eme,Other / unclassified,4
western region,Other / unclassified,4
promet group,Other / unclassified,4
promomadrid,Other / unclassified,4
bank austria creditanstalt,Banking & finance,4
anderson school,"Education, jobs & conferences",4
burberrys,Other / unclassified,4
mandarin jakarta,Other / unclassified,4
manitoba hydro electric board,"Energy, industry & materials",4
mannai trading,Other / unclassified,4
mannesmann export,"Government, trade & development",4
irm,Other / unclassified,4
irvine new town scotland,Other / unclassified,4
allied,Other / unclassified,4
allied bank of pakistan,Banking & finance,4
telef nica de espa a,Other / unclassified,4
eka nobel,Other / unclassified,4
cumbernauld britain s modern new town,Other / unclassified,4
it s helmsley palace,Other / unclassified,4
italian international bank,Banking & finance,4
italsider,Other / unclassified,4
italy,Other / unclassified,4
magazine of scientific progress,Media & publishing (incl. The Economist),4
manchester airport,Other / unclassified,4
bullock cart in bond street,Other / unclassified,4
islamic republic of mauritania,"Government, trade & development",4
isle of thanet,Other / unclassified,4
isma centre,Other / unclassified,4
israel british bank,Banking & finance,4
management buy outs,Other / unclassified,4
anglia,Other / unclassified,4
anglia building society,Other / unclassified,4
produce of france vins de pays,Other / unclassified,4
profit from our systems,Technology & electronics,4
western union,Other / unclassified,4
bank f r arbeit und wirtschaft aktiengesellschaft bawag,Banking & finance,4
magyar hitel bank,Banking & finance,4
malaysian industrial development authority,"Energy, industry & materials",4
italy greece,Other / unclassified,4
itt business systems,Technology & electronics,4
itt financial,Banking & finance,4
itt industries,"Energy, industry & materials",4
australian resources development bank,Banking & finance,4
weyerhaeuser,Other / unclassified,4
edm,Other / unclassified,4
education fellowships,"Education, jobs & conferences",4
education training officer,"Education, jobs & conferences",4
state ownership fund romania,Banking & finance,4
statsf retag,Other / unclassified,4
istanbul hilton,Air travel & hotels,4
j a weir papermakers,Other / unclassified,4
public power,"Energy, industry & materials",4
banco totta acores,Banking & finance,4
publications department eim,Media & publishing (incl. The Economist),4
publications in international economics finance,Banking & finance,4
puerto rico,Other / unclassified,4
economist this week,Media & publishing (incl. The Economist),4
economist writing competition,Media & publishing (incl. The Economist),4
ecosource,Other / unclassified,4
ecu futures,Other / unclassified,4
provident life,Other / unclassified,4
provident life association,Other / unclassified,4
prudential assurance,Banking & finance,4
cycle motorcycle international exhibition,Other / unclassified,4
edfenergy,Other / unclassified,4
edinburgh university press,"Education, jobs & conferences",4
macallan,Other / unclassified,4
macdonald greenlees,Other / unclassified,4
j mardie stockholms enskilda bank hotel frankfurt intercontinental sumitomo bank,Banking & finance,4
j peers associates,Other / unclassified,4
j roussel,Other / unclassified,4
j sainsbury,Other / unclassified,4
teesside bank of kobe long term credit bank of japan university of london atlas computing service,Banking & finance,4
teesside regional organisation for industrial development,"Energy, industry & materials",4
maersk sealand,Other / unclassified,4
burroughs micro twin,Other / unclassified,4
maff,Other / unclassified,4
telecom italia,Technology & electronics,4
telecoms,Technology & electronics,4
itu,Other / unclassified,4
iveco a world of transport,Other / unclassified,4
ivoire,Other / unclassified,4
economist business gift collection,Media & publishing (incl. The Economist),4
wfi publishing,Media & publishing (incl. The Economist),4
j walter thompson,Other / unclassified,4
jabel ali free zone authority,"Government, trade & development",4
lynx technologies,Technology & electronics,4
stephen of linthouse,Other / unclassified,4
sterling land,Other / unclassified,4
jack daniel s old time,Other / unclassified,4
banco nacional do desenvolvimento economico,Banking & finance,4
pyrene fire appliances,Other / unclassified,4
qafco,Other / unclassified,4
white horse scotch whisky,Luxury & consumer goods,4
economist foreign report,Media & publishing (incl. The Economist),4
economist index,Media & publishing (incl. The Economist),4
m i m holdings,Other / unclassified,4
mac,Other / unclassified,4
r j reynolds industries,"Energy, industry & materials",4
daily herald adds,Other / unclassified,4
economic bulletin,Other / unclassified,4
d sseldorf hilton,Air travel & hotels,4
economist,Media & publishing (incl. The Economist),4
team xerox,Technology & electronics,4
tecalemit,Other / unclassified,4
technology information forecasting assessment council smiths gore h e bloch rb,Technology & electronics,4
technology technicians,Technology & electronics,4
teepol,Other / unclassified,4
jaffajuce,Other / unclassified,4
lotterie einnahme hameln,Other / unclassified,4
lotus development,"Government, trade & development",4
lovanium international management center,Other / unclassified,4
lovell,Other / unclassified,4
economist bookline,Media & publishing (incl. The Economist),4
london scottish assurance,Banking & finance,4
business solutions,Other / unclassified,4
carrington viyella,Other / unclassified,4
jeune afrique,Other / unclassified,4
lowndes london,Other / unclassified,4
business growth training,Other / unclassified,4
business in britain,Other / unclassified,4
carpet manufacturing,Other / unclassified,4
business this week,Other / unclassified,4
long john scotch whisky,Luxury & consumer goods,4
lopex,Other / unclassified,4
lotte,Other / unclassified,4
stock group,Other / unclassified,4
stol,Other / unclassified,4
queensland alumina finance,Banking & finance,4
quidnunc,Other / unclassified,4
east west,Other / unclassified,4
rackspace,Other / unclassified,4
carling,Other / unclassified,4
john deere,Other / unclassified,4
john gardner caterers,Other / unclassified,4
john mowlem,Other / unclassified,4
tayside,Other / unclassified,4
tdb american express bank,Banking & finance,4
rado,Other / unclassified,4
ronson,Other / unclassified,4
rootes contract hire,Other / unclassified,4
rosetta stone,Other / unclassified,4
whiteley stevens holdings,Other / unclassified,4
wiggins teape appleton,Other / unclassified,4
wilkhahn,Other / unclassified,4
london northern group,Other / unclassified,4
william davidson institute,"Education, jobs & conferences",4
6th macef international exhibition,Other / unclassified,4
wimpey organisation,Other / unclassified,4
banco atlantico,Banking & finance,4
banco bozano simonsen,Banking & finance,4
london interstate bank,Banking & finance,4
london life association,Other / unclassified,4
stora,Other / unclassified,4
stoxx,Other / unclassified,4
john sinclair,Other / unclassified,4
rolex mentor prot g arts initiative,Luxury & consumer goods,4
rainier national bank,Banking & finance,4
raitt orr associates,Other / unclassified,4
ealing acton,Other / unclassified,4
damovo,Other / unclassified,4
east midlands electricity,"Energy, industry & materials",4
rayonier,Other / unclassified,4
johnson line,Other / unclassified,4
strathclyde industrial development,"Energy, industry & materials",4
strathclyde regional council,"Government, trade & development",4
amsterdam,Other / unclassified,4
subscription form,Media & publishing (incl. The Economist),4
sudan commercial bank,Banking & finance,4
london division of trust houses,Banking & finance,4
jointine products,Other / unclassified,4
carg,Other / unclassified,4
cargill,Other / unclassified,4
jones lang wooton,Other / unclassified,4
rea brothers,Other / unclassified,4
real leather,Other / unclassified,4
e h mundy,Other / unclassified,4
wilkinson sword super sword edge,Other / unclassified,4
tape riter,Other / unclassified,4
kas associatie,Other / unclassified,4
kavli prize,Other / unclassified,4
keelavite,Other / unclassified,4
linguaphone,Other / unclassified,4
talbot,Other / unclassified,4
talent capital singapore,Banking & finance,4
talkland,Other / unclassified,4
amalgamated metal,Other / unclassified,4
ljubljanska banka,Other / unclassified,4
c a s industrial developments,"Energy, industry & materials",4
red sea insurance,Banking & finance,4
rkp,Other / unclassified,4
rmc group p l c,Other / unclassified,4
durham county council,"Government, trade & development",4
raymond international,Other / unclassified,4
worksaver 300 from ncr,Other / unclassified,4
world development council,"Government, trade & development",4
world online,Other / unclassified,4
amiantit,Other / unclassified,4
kemira of finland,Other / unclassified,4
capital security,Banking & finance,4
c p v,Other / unclassified,4
libya tunisia malta,Other / unclassified,4
darton longman todd,Other / unclassified,4
