Dictionary,Outcome,Aggregation,Recession_Definition,Model_Code,Model,N_Quarters,R_squared,Durbin_Watson,Effect,Coefficient,HAC_SE,HAC_p_value,CI_low,CI_high,Interaction_p_value,Outcome_mean_pp,Effect_pct_of_mean,Significant_5pct
Harvard,Pos,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.460632,0.24279,Recession (whole period),0.014056,0.076992,0.855281,-0.137539,0.16565,,2.193883,0.640686,False
Harvard,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.789935,0.672122,Recession (whole period),0.007512,0.044302,0.865488,-0.079726,0.09475,,2.193883,0.3424,False
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,"Recession, pre-1973",0.054737,0.147921,0.711647,-0.236523,0.345998,0.773388,2.193883,2.495002,False
Harvard,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.488515,0.259747,"Recession, post-1973",0.008272,0.071324,0.907761,-0.132167,0.148711,0.773388,2.193883,0.37704,False
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,"Recession, pre-1973",0.064056,0.057466,0.26603,-0.049108,0.177221,0.317367,2.193883,2.919762,False
Harvard,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.803385,0.715766,"Recession, post-1973",-0.015506,0.054722,0.777133,-0.123266,0.092255,0.317367,2.193883,-0.706768,False
Harvard,Neg,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,2.8e-05,0.535556,Recession (whole period),-0.001634,0.025838,0.949636,-0.052506,0.049239,,0.569379,-0.286898,False
Harvard,Neg,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.022591,0.548538,Recession (whole period),0.002338,0.024562,0.924233,-0.046022,0.050699,,0.569379,0.410641,False
Harvard,Neg,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.589879,1.376447,Recession (whole period),0.005562,0.01379,0.687056,-0.021594,0.032717,,0.569379,0.976794,False
Harvard,Neg,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.125098,0.620815,"Recession, pre-1973",0.017972,0.044924,0.689443,-0.070484,0.106428,0.800945,0.569379,3.156381,False
Harvard,Neg,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.125098,0.620815,"Recession, post-1973",0.005055,0.024567,0.837138,-0.043318,0.053427,0.800945,0.569379,0.887782,False
